MEET,MNAME,START,END,AGEUP,SINCE,COURSE,REMARKS,INDCHARGE,RELCHARGE,SURCHARGE,TYPE,SANCTION,MaxIndEnt,MaxRelEnt,MaxEnt,Location,RestrictBest,NonConform,EnforceQualifying,EnterAtQTime,MinAge,FacilityFee,TeamFee,Instructions,Altitude,EnforceSlowQtime,BanNoTimes,Lanes,EvenOrOdd,FastToSlow,Masters,ActiveFeeXMLSent,MinAge10AndUnder,SeedLanes,DeadLine,ActiveMeetID,OnlyPreEntered,CustIndCharge,CustRelCharge,CustSurCharge,CustIndAction,CustRelAction,CustSurAction,UseCustomFees,Addr,Addr2,City,State,ZIP,Cntry,OMEEntryStyle,SwimmerEntryDeadLine,SwimmerEntryOpen,AllowCustomTimes,ExportEntriesDate,LastSyncDate,FinalizeEntriesDate,UseSwimmersTeam,HonorInviteList,EntryTeam,EMailFrom,EMailSubject,EMailText,EntryEMailFrom,EntryEMailSubject,EntryEMailText,OMEBillDate,InviteEmailDate,CollectFeesOnline,OMEValidated,OMECustomTeam,OMEFilterTeam,OMENeedSync,License,OMENeedsSync,MeetSharingStatus,FileExportType,MeetRegistrationOpens,MeetRegistrationCloses,MeetSharingMeetID,MeetSharingPayStatus,MeetSharingResultDate,EV3Version
114,"SST vs FCS, Wakefield, WoL","12/02/05 00:00:00","12/02/05 00:00:00",,,"Y",,0,0,0,,,0,0,4,"Regency Park Sports Center, Fredericksburg",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
115,"SST vs North Stafford","12/10/05 00:00:00","12/10/05 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
116,"VSIS 2006 State Championship","02/17/06 00:00:00","02/18/06 00:00:00","02/17/06 00:00:00",,"Y",,0,0,0,,,,,,"Carl Smith Aquatic Center",0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
117,"SST vs COOL, TES","12/17/05 00:00:00","12/17/05 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
118,"2006 National Catholic Championship","01/28/06 00:00:00","01/29/06 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Villanova University",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
119,"SST vs. Paul VI High School","01/06/06 00:00:00","01/06/06 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Dale City Recreation Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
120,"SST vs FA, FCS, RMA","01/07/06 00:00:00","01/07/06 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
121,"SST vs Woodberry, St. Margaret's","01/20/06 00:00:00","01/20/06 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Woodberry Forest",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
122,"SST vs ECS, Highland, Quantico","01/21/06 00:00:00","01/21/06 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
124,"2006 DAC Championships","02/04/06 00:00:00","02/04/06 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Aquatic and Fitness Center",0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
