SplitID,SplitIndex,Split,StrokeRate
4893,2,2425,
4893,4,5299,
4894,2,2432,
4894,4,5269,
4895,2,3314,
4895,4,6858,
4895,6,10700,
4895,8,13843,
4896,2,3273,
4896,4,6691,
4896,6,10604,
4896,8,13828,
4897,2,3156,
4897,4,6697,
4898,2,3143,
4898,4,6782,
4900,2,3234,
4900,4,6751,
4900,6,10427,
4900,8,14145,
4900,10,17875,
4900,12,21694,
4900,14,25450,
4900,16,29275,
4900,18,33056,
4900,20,36597,
4901,2,3686,
4901,4,7947,
4902,2,2993,
4902,4,6251,
4906,2,2790,
4906,4,5975,
4906,6,10346,
4906,8,13687,
4907,2,2798,
4907,4,5982,
4907,6,10296,
4907,8,13426,
4908,2,2723,
4908,4,5540,
4909,2,2724,
4909,4,5663,
4910,2,3261,
4910,4,7311,
4911,2,3471,
4911,4,7474,
4911,6,12450,
4911,8,15931,
4912,2,3422,
4912,4,7161,
4912,6,10950,
4912,8,14756,
4912,10,18614,
4912,12,22559,
4912,14,26381,
4912,16,30245,
4912,18,33968,
4912,20,37423,
4913,2,3757,
4913,4,7805,
4913,6,12882,
4913,8,16495,
4914,2,2756,
4914,4,6335,
4914,6,10718,
4914,8,14061,
4915,2,2708,
4915,4,5906,
4916,2,2665,
4916,4,5838,
4917,2,3417,
4917,4,7602,
4917,6,12255,
4917,8,15883,
4918,2,3521,
4918,4,7746,
4920,2,3143,
4920,4,6829,
4920,6,10894,
4920,8,15132,
4920,10,19464,
4920,12,24013,
4920,14,28792,
4920,16,33455,
4920,18,38019,
4920,20,42482,
4921,2,3456,
4921,4,7276,
4922,2,3034,
4922,4,6489,
4922,6,10285,
4922,8,13987,
4925,2,2838,
4925,4,6092,
4926,2,2947,
4926,4,6650,
4927,2,3251,
4927,4,6743,
4929,2,3354,
4929,4,7167,
4931,2,2794,
4931,4,5922,
4932,2,2831,
4932,4,5978,
4933,2,3938,
4933,4,8392,
4934,4,6758,
4934,6,9900,
4934,8,12644,
4935,2,3312,
4935,4,6809,
4935,6,9884,
4935,8,12554,
4938,2,3583,
4938,4,7361,
4938,6,10551,
4938,8,13530,
4940,4,5860,
4940,6,8461,
4940,8,10808,
4941,2,2653,
4941,4,5705,
4941,6,8310,
4941,8,10629,
4944,4,5358,
4944,6,8036,
4944,8,10672,
4945,2,2659,
4945,4,5391,
4945,6,8123,
4945,8,10793,
4948,2,2879,
4948,4,5800,
4948,6,8821,
4948,8,11770,
4950,4,4970,
4950,6,7372,
4950,8,9714,
4951,2,2463,
4951,4,4957,
4951,6,7312,
4951,8,9664,
4954,2,2938,
4954,4,6200,
4954,6,9226,
4954,8,12582,
4954,10,15630,
4954,12,19041,
4954,14,22010,
4954,16,25335,
4957,6,8507,
4957,8,11686,
4957,10,14448,
4957,12,17775,
4957,14,20598,
4957,16,23809,
4958,2,2838,
4958,4,5934,
4958,6,8619,
4958,8,11719,
4958,10,14566,
4958,12,17757,
4958,14,20636,
4958,16,24128,
5391,2,3772,
5391,4,7990,
5392,2,4822,
5392,4,10305,
5394,2,3738,
5394,4,8033,
5394,6,12694,
5394,8,16378,
5395,2,3575,
5395,4,7575,
5395,6,11502,
5395,8,15512,
5395,10,19472,
5395,12,23370,
5395,14,27414,
5395,16,31185,
