TEAM,TCODE,TNAME,SHORT,MAILTO,TADDR,TCITY,TZIP,TCNTRY,DAY,EVE,FAX,TTYPE,REGN,REG,MINAGE,NUMATH,TM2000,EMAIL,LSC,TDivision,TSTATE
1,"SST","Seton Swimming","Seton","Coach Jim Koehr","9314 Maple Street","Manassas","20110","USA","540-379-8328","540-379-8328",,"HS",,"OTH",0,111,0,"Coach@KoehrFamily.com",,,"VA"
25,"RMS","Renassiance Montessori School","Renassiance",,,,,"USA",,,,"HS",,"OTH",,0,0,,,,"VA"
27,"SFH","Seton Family Homeschool",,,,,,"USA",,,,"HS",,"OTH",,0,0,,,,"VA"
29,"TCS!","Trinity Christian School","Trinity",,,,,"USA",,,,"HS",,"OTH",,63,0,,"VA",,"VA"
30,"FCS","Fredericksburg Christian Schoo","F'burg Christian",,,,,"USA",,,,"HS",,"OTH",,41,0,,"VA",,"VA"
38,"SALUM","Seton Swimming Alumni",,,,,,"USA",,,,"HS",,"OTH",,0,0,,,,"VA"
48,"OAK","Oakcrest School Chargers","OAK","c/o Caroline Heeter","1619 Crowell Road","Vienna","22182","USA","703.790.5450",,"703.790.5380","HS",,"OTH",,77,0,"cheeter@oakcrest.org",,"0","VA"
158,"ICHS","Immanuel Christian High School","Immanuel Christi",,"6915 VA-620","Springfield","22151","USA",,,,"HS",,"OTH",,,0,,,"0","VA"
198,"SGHS","Saint Gertrude High School","Saint Gertrude",,"3215 Stuart Ave","Richmond","23221","USA",,,,"HS",,"OTH",,,0,,"VA","0","VA"
199,"JP","Saint John Paul the Great Cath","Saint John Paul",,"17700 Dominican Drive","Dumfries","22026","USA",,,,"HS",,"OTH",,,0,,"VA","0","VA"
203,"BI","Bishop Ireton High School","Bishop Ireton",,,,,"USA",,,,"HS",,"OTH",,,0,,,,"VA"
204,"DJO","Bishop O'Connell High School","Bishop O'Connel",,,,,"USA",,,,"HS",,"OTH",,,0,,,,"VA"
205,"BCP","Benedictine College Prep","Benedictine",,,,,"USA",,,,"HS",,"OTH",,,0,,,,"VA"
207,"PVI","St. Paul VI High School School","Paul VI",,,,,"USA",,,,"HS",,"OTH",,,0,,,,"VA"
280,"KOEHR","Koehr Grandkids","Koehr Grandkids",,,,,"USA",,,,"AGE",,"OTH",,,0,,,,"VA"
281,"TAMV","Trinity Academy Meadow View",,,"2853 Meadow View Rd","Falls Church","22042","USA","703-876-1920",,,"HS",,"OTH",,,0,"frontdesk@trainityacademymv.org",,"0","VA"
